Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L1_id,L0_id,True_L0_MAE,Meas_L0_MAE
Height,0,20%,8C x 9K,L1_0,L0_4,7.882583474838611e-16,-1.0
Height,0,20%,8C x 9K,L1_0,L0_5,0.13553682085476038,-1.0
Height,0,20%,8C x 9K,L1_0,L0_6,0.08182930323927519,1.5296406117057713e-15
Height,0,20%,8C x 9K,L1_0,L0_7,0.020278162652569338,-1.0
Height,0,20%,8C x 9K,L1_0,L0_8,0.09137678058183779,-1.0
Height,0,20%,8C x 9K,L1_0,L0_9,1.3877787807814457e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_0,1.0121533241166011e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_1,0.175887049710623,-1.0
Height,0,20%,8C x 9K,L1_1,L0_10,0.4482461679043848,0.5027712150134178
Height,0,20%,8C x 9K,L1_1,L0_11,1.73749903353837e-15,2.3561399744822766e-15
Height,0,20%,8C x 9K,L1_1,L0_12,0.04460656584944959,-1.0
Height,0,20%,8C x 9K,L1_1,L0_13,0.03799011008196748,-1.0
Height,0,20%,8C x 9K,L1_1,L0_14,1.2112417550428726e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_15,0.03449557263414697,0.05749262105691298
Height,0,20%,8C x 9K,L1_1,L0_16,0.01533481585094525,-1.0
Height,0,20%,8C x 9K,L1_1,L0_17,1.4015987444733943e-15,-1.0
Height,0,20%,8C x 9K,L1_1,L0_18,0.04771509728781732,-1.0
Height,0,20%,8C x 9K,L1_1,L0_19,0.4189994856015081,-1.0
Height,0,20%,8C x 9K,L1_1,L0_2,0.24133786238982574,-1.0
Height,0,20%,8C x 9K,L1_1,L0_20,0.025922710493808294,-1.0
Height,0,20%,8C x 9K,L1_1,L0_21,0.2985216689587028,-1.0
Height,0,20%,8C x 9K,L1_1,L0_22,0.06593248048592552,-1.0
Height,0,20%,8C x 9K,L1_1,L0_23,0.0991004756462304,0.16516745941038263
Height,0,20%,8C x 9K,L1_1,L0_24,0.18441279836162,-1.0
Height,0,20%,8C x 9K,L1_1,L0_3,0.3912394172075485,0.2243724661112515
Height,0,20%,8C x 9K,L1_1,L0_4,0.03587955317672944,-1.0
Height,0,20%,8C x 9K,L1_1,L0_5,0.2462970880135879,0.4104951466893125
Height,0,20%,8C x 9K,L1_1,L0_6,0.03473439014586785,0.057890650243112164
Height,0,20%,8C x 9K,L1_1,L0_7,0.17621101310508985,0.09417901601463163
Height,0,20%,8C x 9K,L1_1,L0_8,8.34517640176576e-16,-1.0
Height,0,20%,8C x 9K,L1_1,L0_9,0.08549311952661741,-1.0
Height,0,20%,8C x 9K,L1_2,L0_0,0.05152984242945562,1.730868534919081e-15
Height,0,20%,8C x 9K,L1_2,L0_1,0.15274980527544155,-1.0
Height,0,20%,8C x 9K,L1_2,L0_10,0.203098578793838,-1.0
Height,0,20%,8C x 9K,L1_2,L0_11,0.0645490601992777,-1.0
Height,0,20%,8C x 9K,L1_2,L0_12,0.037177480970775265,0.06196246828462463
Height,0,20%,8C x 9K,L1_2,L0_13,0.052039057572354226,0.07078631737105821
Height,0,20%,8C x 9K,L1_2,L0_14,1.865174681370263e-15,2.319132540328105e-15
Height,0,20%,8C x 9K,L1_2,L0_15,1.0325074129013957e-15,1.89971495324749e-15
Height,0,20%,8C x 9K,L1_2,L0_16,0.06530843570749681,-1.0
Height,0,20%,8C x 9K,L1_2,L0_17,1.2360483007493409e-15,9.375216652390211e-16
Height,0,20%,8C x 9K,L1_2,L0_18,1.1309240581051463e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_19,0.08364183856697868,-1.0
Height,0,20%,8C x 9K,L1_2,L0_2,1.778207211107959e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_20,0.07411185901845425,-1.0
Height,0,20%,8C x 9K,L1_2,L0_21,1.208292725133712e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_22,0.130927429224017,-1.0
Height,0,20%,8C x 9K,L1_2,L0_23,0.023923223444003956,0.03987203907333974
Height,0,20%,8C x 9K,L1_2,L0_24,0.0907862834571878,-1.0
Height,0,20%,8C x 9K,L1_2,L0_3,1.5443664865462854e-15,-1.0
Height,0,20%,8C x 9K,L1_2,L0_4,0.153315562610871,0.06682272352087384
Height,0,20%,8C x 9K,L1_2,L0_5,0.16181917412036176,-1.0
Height,0,20%,8C x 9K,L1_2,L0_6,0.07666455528432493,-1.0
Height,0,20%,8C x 9K,L1_2,L0_7,0.0914508672820276,-1.0
Height,0,20%,8C x 9K,L1_2,L0_8,0.0771554835085857,-1.0
Height,0,20%,8C x 9K,L1_2,L0_9,0.24385043160537404,-1.0
Height,0,20%,2C x 46K,L1_0,L0_0,0.12780439194519652,-1.0
Height,0,20%,2C x 46K,L1_0,L0_1,0.08358789417756825,0.08358789417756846
Height,0,20%,2C x 46K,L1_0,L0_10,0.2607342278899197,-1.0
Height,0,20%,2C x 46K,L1_0,L0_11,1.0584126168093159e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_12,0.1266640563708891,-1.0
Height,0,20%,2C x 46K,L1_0,L0_13,0.03685451436403257,-1.0
Height,0,20%,2C x 46K,L1_0,L0_14,1.0667392894940045e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_15,0.10163306000306192,-1.0
Height,0,20%,2C x 46K,L1_0,L0_16,9.288865972697144e-16,1.3507713466272737e-15
Height,0,20%,2C x 46K,L1_0,L0_17,1.9234613901630836e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_18,0.14421221468641543,-1.0
Height,0,20%,2C x 46K,L1_0,L0_19,0.04272434120297947,-1.0
Height,0,20%,2C x 46K,L1_0,L0_2,0.06631267369220768,-1.0
Height,0,20%,2C x 46K,L1_0,L0_20,1.0972704226711963e-15,-1.0
Height,0,20%,2C x 46K,L1_0,L0_21,0.07872693894374505,-1.0
Height,0,20%,2C x 46K,L1_0,L0_22,0.1081347957811766,-1.0
Height,0,20%,2C x 46K,L1_0,L0_23,0.03361621622410928,-1.0
Height,0,20%,2C x 46K,L1_0,L0_24,0.055955307184036705,-1.0
Height,0,20%,2C x 46K,L1_0,L0_3,0.32944676564269937,-1.0
Height,0,20%,2C x 46K,L1_0,L0_4,7.882583474838611e-16,-1.0
Height,0,20%,2C x 46K,L1_0,L0_5,0.13553682085476038,-1.0
Height,0,20%,2C x 46K,L1_0,L0_6,0.08182930323927519,-1.0
Height,0,20%,2C x 46K,L1_0,L0_7,0.020278162652569338,-1.0
Height,0,20%,2C x 46K,L1_0,L0_8,0.09137678058183779,-1.0
Height,0,20%,2C x 46K,L1_0,L0_9,1.3877787807814457e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_0,1.0121533241166011e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_1,0.175887049710623,-1.0
Height,0,20%,2C x 46K,L1_1,L0_10,0.4482461679043848,-1.0
Height,0,20%,2C x 46K,L1_1,L0_11,1.73749903353837e-15,2.597921877622866e-15
Height,0,20%,2C x 46K,L1_1,L0_12,0.04460656584944959,-1.0
Height,0,20%,2C x 46K,L1_1,L0_13,0.03799011008196748,-1.0
Height,0,20%,2C x 46K,L1_1,L0_14,1.2112417550428726e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_15,0.03449557263414697,-1.0
Height,0,20%,2C x 46K,L1_1,L0_16,0.01533481585094525,-1.0
Height,0,20%,2C x 46K,L1_1,L0_17,1.4015987444733943e-15,-1.0
Height,0,20%,2C x 46K,L1_1,L0_18,0.04771509728781732,0.04771509728781807
Height,0,20%,2C x 46K,L1_1,L0_19,0.4189994856015081,-1.0
Height,0,20%,2C x 46K,L1_1,L0_2,0.24133786238982574,-1.0
Height,0,20%,2C x 46K,L1_1,L0_20,0.025922710493808294,-1.0
Height,0,20%,2C x 46K,L1_1,L0_21,0.2985216689587028,-1.0
Height,0,20%,2C x 46K,L1_1,L0_22,0.06593248048592552,-1.0
Height,0,20%,2C x 46K,L1_1,L0_23,0.0991004756462304,-1.0
Height,0,20%,2C x 46K,L1_1,L0_24,0.18441279836162,-1.0
Height,0,20%,2C x 46K,L1_1,L0_3,0.3912394172075485,-1.0
Height,0,20%,2C x 46K,L1_1,L0_4,0.03587955317672944,-1.0
Height,0,20%,2C x 46K,L1_1,L0_5,0.2462970880135879,-1.0
Height,0,20%,2C x 46K,L1_1,L0_6,0.03473439014586785,-1.0
Height,0,20%,2C x 46K,L1_1,L0_7,0.17621101310508985,-1.0
Height,0,20%,2C x 46K,L1_1,L0_8,8.34517640176576e-16,-1.0
Height,0,20%,2C x 46K,L1_1,L0_9,0.08549311952661741,-1.0
Height,0,20%,2C x 46K,L1_2,L0_0,0.05152984242945562,-1.0
Height,0,20%,2C x 46K,L1_2,L0_1,0.15274980527544155,-1.0
Height,0,20%,2C x 46K,L1_2,L0_10,0.203098578793838,-1.0
Height,0,20%,2C x 46K,L1_2,L0_11,0.0645490601992777,-1.0
Height,0,20%,2C x 46K,L1_2,L0_12,0.037177480970775265,-1.0
Height,0,20%,2C x 46K,L1_2,L0_13,0.052039057572354226,-1.0
Height,0,20%,2C x 46K,L1_2,L0_14,1.865174681370263e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_15,1.0325074129013957e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_16,0.06530843570749681,-1.0
Height,0,20%,2C x 46K,L1_2,L0_17,1.2360483007493409e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_18,1.1309240581051463e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_19,0.08364183856697868,-1.0
Height,0,20%,2C x 46K,L1_2,L0_2,1.778207211107959e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_20,0.07411185901845425,-1.0
Height,0,20%,2C x 46K,L1_2,L0_21,1.208292725133712e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_22,0.130927429224017,-1.0
Height,0,20%,2C x 46K,L1_2,L0_23,0.023923223444003956,-1.0
Height,0,20%,2C x 46K,L1_2,L0_24,0.0907862834571878,0.09078628345718817
Height,0,20%,2C x 46K,L1_2,L0_3,1.5443664865462854e-15,-1.0
Height,0,20%,2C x 46K,L1_2,L0_4,0.153315562610871,-1.0
Height,0,20%,2C x 46K,L1_2,L0_5,0.16181917412036176,-1.0
Height,0,20%,2C x 46K,L1_2,L0_6,0.07666455528432493,-1.0
Height,0,20%,2C x 46K,L1_2,L0_7,0.0914508672820276,-1.0
Height,0,20%,2C x 46K,L1_2,L0_8,0.0771554835085857,-1.0
Height,0,20%,2C x 46K,L1_2,L0_9,0.24385043160537404,0.24385043160537473
Height,0,30%,8C x 13K,L1_0,L0_0,0.12780439194519652,-1.0
Height,0,30%,8C x 13K,L1_0,L0_1,0.08358789417756825,0.0964475702048865
Height,0,30%,8C x 13K,L1_0,L0_10,0.2607342278899197,-1.0
Height,0,30%,8C x 13K,L1_0,L0_11,1.0584126168093159e-15,1.673874714050236e-15
Height,0,30%,8C x 13K,L1_0,L0_12,0.1266640563708891,-1.0
Height,0,30%,8C x 13K,L1_0,L0_13,0.03685451436403257,-1.0
Height,0,30%,8C x 13K,L1_0,L0_14,1.0667392894940045e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_15,0.10163306000306192,0.11726891538814876
Height,0,30%,8C x 13K,L1_0,L0_16,9.288865972697144e-16,-1.0
Height,0,30%,8C x 13K,L1_0,L0_17,1.9234613901630836e-15,-1.0
Height,0,30%,8C x 13K,L1_0,L0_18,0.14421221468641543,-1.0
Height,0,30%,8C x 13K,L1_0,L0_19,0.04272434120297947,-1.0
Height,0,30%,8C x 13K,L1_0,L0_2,0.06631267369220768,-1.0
Height,0,30%,8C x 13K,L1_0,L0_20,1.0972704226711963e-15,1.680279846884612e-15
Height,0,30%,8C x 13K,L1_0,L0_21,0.07872693894374505,-1.0
Height,0,30%,8C x 13K,L1_0,L0_22,0.1081347957811766,-1.0
Height,0,30%,8C x 13K,L1_0,L0_23,0.03361621622410928,0.0387879417970488
Height,0,30%,8C x 13K,L1_0,L0_24,0.055955307184036705,-1.0
Height,0,30%,8C x 13K,L1_0,L0_3,0.32944676564269937,0.38013088343388446
Height,0,30%,8C x 13K,L1_0,L0_4,7.882583474838611e-16,1.4518301091252047e-15
Height,0,30%,8C x 13K,L1_0,L0_5,0.13553682085476038,-1.0
Height,0,30%,8C x 13K,L1_0,L0_6,0.08182930323927519,0.09441842681454835
Height,0,30%,8C x 13K,L1_0,L0_7,0.020278162652569338,-1.0
Height,0,30%,8C x 13K,L1_0,L0_8,0.09137678058183779,-1.0
Height,0,30%,8C x 13K,L1_0,L0_9,1.3877787807814457e-15,-1.0
Height,0,30%,8C x 13K,L1_1,L0_0,1.0121533241166011e-15,1.4091292235626986e-15
Height,0,30%,8C x 13K,L1_1,L0_1,0.175887049710623,-1.0
Height,0,30%,8C x 13K,L1_1,L0_10,0.4482461679043848,0.5172071168127519
Height,0,30%,8C x 13K,L1_1,L0_11,1.73749903353837e-15,2.6901557904378792e-15
Height,0,30%,8C x 13K,L1_1,L0_12,0.04460656584944959,-1.0
Height,0,30%,8C x 13K,L1_1,L0_13,0.03799011008196748,0.043834742402270144
Height,0,30%,8C x 13K,L1_1,L0_14,1.2112417550428726e-15,-1.0
Height,0,30%,8C x 13K,L1_1,L0_15,0.03449557263414697,-1.0
Height,0,30%,8C x 13K,L1_1,L0_16,0.01533481585094525,-1.0
Height,0,30%,8C x 13K,L1_1,L0_17,1.4015987444733943e-15,-1.0
Height,0,30%,8C x 13K,L1_1,L0_18,0.04771509728781732,0.0550558814859435
Height,0,30%,8C x 13K,L1_1,L0_19,0.4189994856015081,-1.0
Height,0,30%,8C x 13K,L1_1,L0_2,0.24133786238982574,-1.0
Height,0,30%,8C x 13K,L1_1,L0_20,0.025922710493808294,0.02991081980054842
