Indicator,Sim_ID,L1_Budget_Pct,L1_Label,L1_id,L0_id,True_L0_MAE,Meas_L0_MAE
Height,0,10%,2C x 15K,L1_0,L0_0,0.0316287004840498,-1.0
Height,0,10%,2C x 15K,L1_0,L0_1,0.028440156818979927,-1.0
Height,0,10%,2C x 15K,L1_0,L0_10,0.029948720101781713,-1.0
Height,0,10%,2C x 15K,L1_0,L0_11,0.024452286799247925,-1.0
Height,0,10%,2C x 15K,L1_0,L0_12,0.023435779596981232,-1.0
Height,0,10%,2C x 15K,L1_0,L0_13,0.019251658766684332,-1.0
Height,0,10%,2C x 15K,L1_0,L0_14,0.03088533550533236,-1.0
Height,0,10%,2C x 15K,L1_0,L0_15,0.01457946647194472,-1.0
Height,0,10%,2C x 15K,L1_0,L0_16,0.025793943339196348,-1.0
Height,0,10%,2C x 15K,L1_0,L0_17,0.026339424826421532,-1.0
Height,0,10%,2C x 15K,L1_0,L0_18,0.021949001747347353,0.03712059598525966
Height,0,10%,2C x 15K,L1_0,L0_19,0.019584313587141508,-1.0
Height,0,10%,2C x 15K,L1_0,L0_2,0.031536283605990326,-1.0
Height,0,10%,2C x 15K,L1_0,L0_20,0.043719918757293974,-1.0
Height,0,10%,2C x 15K,L1_0,L0_21,0.0270110088660462,-1.0
Height,0,10%,2C x 15K,L1_0,L0_22,0.021896447027227706,-1.0
Height,0,10%,2C x 15K,L1_0,L0_23,0.026922210268365544,-1.0
Height,0,10%,2C x 15K,L1_0,L0_24,0.03995849700630998,-1.0
Height,0,10%,2C x 15K,L1_0,L0_3,0.033699158554872516,-1.0
Height,0,10%,2C x 15K,L1_0,L0_4,0.046502155500802056,-1.0
Height,0,10%,2C x 15K,L1_0,L0_5,0.04276183204095751,-1.0
Height,0,10%,2C x 15K,L1_0,L0_6,0.02116278027728673,0.04407523014216583
Height,0,10%,2C x 15K,L1_0,L0_7,0.021366073166382466,-1.0
Height,0,10%,2C x 15K,L1_0,L0_8,0.030532209484664504,-1.0
Height,0,10%,2C x 15K,L1_0,L0_9,0.025702649975690703,-1.0
Height,0,10%,2C x 15K,L1_1,L0_0,0.03266597579249984,-1.0
Height,0,10%,2C x 15K,L1_1,L0_1,0.019247046087899754,-1.0
Height,0,10%,2C x 15K,L1_1,L0_10,0.02291492821805164,0.028155102214253207
Height,0,10%,2C x 15K,L1_1,L0_11,0.019635789698649615,-1.0
Height,0,10%,2C x 15K,L1_1,L0_12,0.016204778461175216,-1.0
Height,0,10%,2C x 15K,L1_1,L0_13,0.025481841395736445,-1.0
Height,0,10%,2C x 15K,L1_1,L0_14,0.027375540654325816,-1.0
Height,0,10%,2C x 15K,L1_1,L0_15,0.027257068748790317,-1.0
Height,0,10%,2C x 15K,L1_1,L0_16,0.026342757302860686,-1.0
Height,0,10%,2C x 15K,L1_1,L0_17,0.02619880510827761,-1.0
Height,0,10%,2C x 15K,L1_1,L0_18,0.024827337965592815,-1.0
Height,0,10%,2C x 15K,L1_1,L0_19,0.031992986102844394,-1.0
Height,0,10%,2C x 15K,L1_1,L0_2,0.027240836602324833,0.03308583783207788
Height,0,10%,2C x 15K,L1_1,L0_20,0.017220049884238694,-1.0
Height,0,10%,2C x 15K,L1_1,L0_21,0.023944943147179865,-1.0
Height,0,10%,2C x 15K,L1_1,L0_22,0.030223278155306517,-1.0
Height,0,10%,2C x 15K,L1_1,L0_23,0.026614347934643186,-1.0
Height,0,10%,2C x 15K,L1_1,L0_24,0.024553029742090424,-1.0
Height,0,10%,2C x 15K,L1_1,L0_3,0.02125644747588707,-1.0
Height,0,10%,2C x 15K,L1_1,L0_4,0.02910681624653514,-1.0
Height,0,10%,2C x 15K,L1_1,L0_5,0.026392087316309168,-1.0
Height,0,10%,2C x 15K,L1_1,L0_6,0.02910740932883641,-1.0
Height,0,10%,2C x 15K,L1_1,L0_7,0.01971561903110071,-1.0
Height,0,10%,2C x 15K,L1_1,L0_8,0.029576630116164283,-1.0
