Universe,Indicator,Sim_ID,L1_Budget_Pct,L1_C,L1_K,L1_Label,L2_Budget_Pct,L2_C,L2_K,L2_Label,V1_MAE_Acc,V1_RMSE_Acc,V1_P90_Acc,V2_MAE_Acc,V2_RMSE_Acc,V2_P90_Acc,V3_MAE_Acc,V3_RMSE_Acc,V3_P90_Acc,Scenario,Rho_Model
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,40%,6,5,6C x 5K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,70.0,72.0,54.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,40%,6,5,6C x 5K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,77.0,78.0,53.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,40%,6,5,6C x 5K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,69.0,71.0,51.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,40%,6,5,6C x 5K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,75.0,74.0,57.99999999999999,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,60%,15,3,15C x 3K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,72.0,69.0,56.99999999999999,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,60%,15,3,15C x 3K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,81.0,83.0,69.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,60%,11,4,11C x 4K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,72.0,72.0,55.00000000000001,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,60%,11,4,11C x 4K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,79.0,81.0,63.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,60%,9,5,9C x 5K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,72.0,74.0,59.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,60%,9,5,9C x 5K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,84.0,84.0,62.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,60%,9,5,9C x 5K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,74.0,73.0,56.99999999999999,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,60%,9,5,9C x 5K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,84.0,86.0,66.0,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Height,0,20%,15,5,15C x 5K,60%,9,5,9C x 5K,36.0,36.0,39.0,37.16852010265184,37.63900769888793,36.441402908468774,74.0,74.0,55.00000000000001,1_Good_L0_Good_L1,0.0
1_Good_L0_Good_L1 (rho=0.0),Weight,0,20%,15,5,15C x 5K,60%,9,5,9C x 5K,41.0,44.0,36.0,36.14200171086397,35.414884516680914,37.4251497005988,76.0,77.0,59.0,1_Good_L0_Good_L1,0.0
